,0,1,2,3,4,5
138,3.,Arges,19996,23,"0,86",
139,4.,Bacau,18295,63,"1,35",
140,5.,Bihor,19659,73,"1,61",
141,6.,Bistrita-Nasaud,8079,18,"1,05",
142,7.,Botosani,9477,31,"1,5",
143,8.,Brasov,28023,116,"2,25",
144,9.,Braila,9191,14,"1,43",
145,10.,Buzau,8850,14,"0,52",
146,11.,Caras-Severin,7483,27,"1,86",
147,12.,Calarasi,6981,9,"1,02",
148,13.,Cluj,34476,88,"2,9",
149,14.,Constanta,29284,44,"1,83",
150,15.,Covasna,5457,15,"0,89",
151,16.,Dambovita,16214,42,"1,23",
152,17.,Dolj,17034,79,"1,25",
153,18.,Galati,18366,40,"1,68",
154,19.,Giurgiu,7173,51,"1,26",
155,20.,Gorj,5574,10,"0,76",
156,21.,Harghita,5693,6,"0,59",
157,22.,Hunedoara,13156,58,"1,33",
158,23.,Ialomita,7481,18,"0,87",
159,24.,Iasi,30584,94,"0,8",
160,25.,Ilfov,27788,52,"2,91",
161,26.,Maramures,12845,66,"2,47",
162,27.,Mehedinti,5457,14,"0,8",
163,28.,Mures,16354,33,"1,06",
164,29.,Neamt,12343,36,"1,24",
165,30.,Olt,10376,24,"0,58",
166,31.,Prahova,25607,25,"0,93",
167,32.,Satu Mare,8068,26,"1,67",
168,33.,Salaj,6971,33,"1,85",
169,34.,Sibiu,18213,27,"1,23",
170,35.,Suceava,18181,83,"1,87",
171,36.,Teleorman,8715,3,"1,2",
172,37.,Timis,31086,127,"3,52",
173,38.,Tulcea,5974,19,"1,09",
174,39.,Vaslui,11721,25,"1,2",
175,40.,Valcea,10834,43,"1,23",
176,41.,Vrancea,7631,17,"0,6",
177,42.,Mun. Bucuresti,115532,342,"2,37",
178,43.,Cazuri noi nealocate pe judete,1877*,-175, ,
179,24-ian, TOTAL,711.010,1.816, ,
180,Nr. crt.,Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,
181,1.,Alba,13532,34,"1,56",
182,2.,Arad,15431,18,"1,35",
183,3.,Arges,20016,20,"0,83",
184,4.,Bacau,18332,37,"1,35",
185,5.,Bihor,19695,36,"1,58",
186,6.,Bistrita-Nasaud,8089,10,"1,08",
187,7.,Botosani,9512,35,"1,53",
188,8.,Brasov,28064,41,"2,2",
189,9.,Braila,9197,6,"1,31",
190,10.,Buzau,8874,24,"0,54",
191,11.,Caras-Severin,7505,22,"1,82",
192,12.,Calarasi,7002,21,"0,85",
193,13.,Cluj,34710,234,"3,07",
194,14.,Constanta,29409,125,"1,86",
195,15.,Covasna,5464,7,"0,78",
196,16.,Dambovita,16256,42,"1,15",
197,17.,Dolj,17054,20,"1,29",
198,18.,Galati,18410,44,"1,54",
199,19.,Giurgiu,7176,3,"1,17",
200,20.,Gorj,5583,9,"0,75",
201,21.,Harghita,5712,19,"0,62",
202,22.,Hunedoara,13173,17,"1,45",
203,23.,Ialomita,7497,16,"0,9",
204,24.,Iasi,30642,58,"0,71",
205,25.,Ilfov,27938,150,"2,85",
206,26.,Maramures,12916,71,"2,47",
207,27.,Mehedinti,5475,18,"0,81",
208,28.,Mures,16377,23,"1,04",
209,29.,Neamt,12380,37,"1,26",
210,30.,Olt,10391,15,"0,56",
211,31.,Prahova,25651,44,"0,92",
212,32.,Satu Mare,8098,30,"1,66",
213,33.,Salaj,6982,11,"1,85",
